pmid;Manual Class
29050382;EOAD, LOAD
27103528;LOAD
23613741;LOAD
23415546;FAD, EOAD, PD
22459297;FAD, PD
22015308;LOAD, FAD
21316814;LOAD
20375137;FAD, EOAD, LOAD
19604328;FAD, EOAD, PD
15364419;FAD, EOAD, PD
15179443;LOAD
14552909;FAD, EOAD
11848684;FAD
11129341;EOAD, LOAD, FAD
10720282;FAD, EOAD, PD
16179827;LOAD, PD
9754958;FAD, PD
17719017;FAD, LOAD
11443731;FAD, LOAD
11757955;FAD, LOAD
11920851;FAD, EOAD, PD
23984328;FAD, EOAD, LOAD
25556849;FAD, EOAD
24650794;FAD, EOAD
23409049;FAD, EOAD
23379308;FAD, EOAD
23137948;FAD, EOAD
19684239;FAD, EOAD
16921174;FAD, EOAD
17493013;FAD, EOAD
22426017;FAD, EOAD
20080541;FAD, EOAD
16306245;FAD, EOAD
11489281;FAD, EOAD
11165779;FAD, EOAD
14623725;FAD, EOAD
11099448;FAD, EOAD
12601712;FAD, EOAD
11398564;FAD, EOAD
26478578;FAD
28776874;FAD
19885829;FAD
19559767;FAD
19921519;FAD
11245918;FAD
11754996;FAD
23507771;EOAD, LOAD
26694580;EOAD, LOAD
17343292;EOAD, LOAD
23208452;EOAD, LOAD
17606531;EOAD, LOAD
27668683;AD
26350541;AD
27889917;AD
19506424;AD
17198748;AD
14753054;AD
11882748;AD
